ingredient_th,ingredient_en,aliases,e_number,source_th,source_en,source_type,ruling,basis_th,note_th
เจลาติน,Gelatin,gelatine|เจลาทีน|เยลาติน,E441,สุกร,Pork,animal_prohibited,haram,"สุกรและอนุพันธ์เป็นสิ่งต้องห้ามโดยตัวบท (อัลกุรอาน 2:173, 5:3)",เจลาตินจากหนังและกระดูกสุกรเป็นชนิดที่ใช้แพร่หลายที่สุดในอุตสาหกรรม
เจลาติน,Gelatin,gelatine|เจลาทีน,E441,วัวเชือดตามหลักศาสนาอิสลาม,Halal-slaughtered cattle,animal_halal_slaughter,halal,สัตว์บกที่อนุมัติและเชือดถูกต้องตามหลักศาสนา อนุพันธ์จึงฮาลาล,ต้องมีใบรับรองการเชือดกำกับตลอดสายการผลิต
เจลาติน,Gelatin,gelatine|เจลาทีน,E441,วัวไม่ระบุวิธีการเชือด,Cattle (slaughter unspecified),animal_unspecified,mashbooh,ไม่อาจยืนยันได้ว่าเชือดตามหลักศาสนาหรือไม่ จึงเป็นที่คลุมเครือ,ควรหลีกเลี่ยงจนกว่าจะตรวจสอบแหล่งที่มาได้
เจลาติน,Gelatin,fish gelatin|เจลาตินปลา,E441,ปลา,Fish,aquatic,halal,สัตว์น้ำเป็นที่อนุมัติตามทัศนะมัซฮับชาฟิอีย์ซึ่งเป็นมัซฮับหลักในไทย,เจลาตินปลาเป็นทางเลือกฮาลาลที่พบมากในผลิตภัณฑ์เสริมอาหาร
เจลาตินจากพืช,Plant-based gelatin,วุ้นทดแทนเจลาติน|agar gelatin,,สาหร่ายทะเล,Seaweed,plant,halal,พืชและสาหร่ายเป็นที่อนุมัติโดยหลักเดิม (อัลอัศล์ฟิลอัชยาอ์อัลอิบาหะฮ์),ทางเทคนิคเป็นวุ้น/คาร์ราจีแนน ไม่ใช่เจลาตินแท้
เรนเนต,Rennet,rennin|เอนไซม์เรนเนต,,กระเพาะสุกร,Pig stomach,animal_prohibited,haram,อนุพันธ์จากสุกรเป็นสิ่งต้องห้าม,
เรนเนต,Rennet,rennin,,ลูกวัวเชือดตามหลักศาสนาอิสลาม,Halal-slaughtered calf,animal_halal_slaughter,halal,เอนไซม์จากสัตว์อนุมัติที่เชือดถูกต้อง,
เรนเนต,Rennet,rennin,,ลูกวัวไม่ระบุวิธีการเชือด,Calf (slaughter unspecified),animal_unspecified,mashbooh,ไม่ทราบวิธีการเชือดจึงคลุมเครือ,เรนเนตสัตว์ที่ขายทั่วไปมักไม่ระบุแหล่งที่มา
เรนเนต,Rennet,microbial rennet|เรนเนตจุลินทรีย์,,จุลินทรีย์,Microbial,microbial,halal,ผลิตจากเชื้อราหรือแบคทีเรียที่ไม่ใช่สิ่งต้องห้าม,เป็นชนิดที่โรงงานฮาลาลนิยมใช้แทนเรนเนตสัตว์
เอทานอล,Ethanol,แอลกอฮอล์|alcohol|เอทิลแอลกอฮอล์,,การหมักเพื่อผลิตสุรา,Alcoholic beverage fermentation,intoxicant,haram,ค็อมร์ (ของมึนเมา) เป็นสิ่งต้องห้ามโดยตัวบท (อัลกุรอาน 5:90),ครอบคลุมเหล้า เบียร์ ไวน์ และสิ่งที่สกัดจากสิ่งเหล่านั้น
เอทานอล,Ethanol,แอลกอฮอล์|alcohol,,ตัวทำละลายในสารแต่งกลิ่น,Flavour carrier solvent,synthetic,mashbooh,มีทัศนะต่างกันระหว่างสำนักคิด บางมาตรฐานอนุญาตหากตกค้างน้อยมากและไม่ทำให้มึนเมา,ควรตรวจปริมาณแอลกอฮอล์ตกค้างตามเกณฑ์ของผู้ให้การรับรอง
เอทานอล,Ethanol,industrial alcohol,,กระบวนการปิโตรเคมี,Petrochemical synthesis,mineral,mashbooh,ไม่ได้มาจากการหมักสุราแต่ยังเป็นสารมึนเมาโดยสภาพ,มาตรฐานส่วนใหญ่ห้ามใช้ในอาหารแม้ไม่ได้มาจากสุรา
เอทานอล,Ethanol,natural ethanol,,เอทานอลที่เกิดเองในผลไม้สุก,Naturally occurring in ripe fruit,plant,halal,เกิดขึ้นเองตามธรรมชาติในปริมาณน้อยและไม่ได้ผลิตเพื่อให้มึนเมา,
วานิลลาสกัด,Vanilla extract,vanilla essence|กลิ่นวานิลลา,,ตัวทำละลายในสารแต่งกลิ่น,Flavour carrier solvent,synthetic,mashbooh,วานิลลาสกัดมาตรฐานสากลต้องมีเอทานอลเป็นตัวทำละลายไม่ต่ำกว่า 35%,วานิลลินสังเคราะห์ที่ไม่ใช้แอลกอฮอล์เป็นทางเลือกฮาลาล
วานิลลิน,Vanillin,vanillin synthetic|วานิลลินสังเคราะห์,,กระบวนการปิโตรเคมี,Petrochemical synthesis,mineral,halal,สารสังเคราะห์ที่ไม่มีส่วนประกอบต้องห้ามและไม่ใช่สารมึนเมา,
